name,generic_name,brand_name,category,unit,retail_price,purchase_price,reorder_level,shelf_location,notes
Medroxyprogesterone,Provera,Pfizer,Tablet,Strip,30.00,22.00,25,R1-11,Progestogen
Ethinyl Estradiol+Levonorgestrel,Loette,Various,Tablet,Strip,50.00,35.00,30,R1-12,Oral Contraceptive
Ethinyl Estradiol+Desogestrel,Marvelon,Various,Tablet,Strip,45.00,32.00,30,R1-13,Oral Contraceptive
Levonorgrel,Postinor-2,Gedea,Tablet,Strip,100.00,72.00,15,R1-14,Emergency Contraceptive
Mifepristone+Misoprostol,Mifegyne,Various,Tablet,Box,300.00,215.00,5,R1-15,Medical Abortion
Misoprostol,Cytotec,Pfizer,Tablet,Strip,80.00,55.00,10,R1-16,Prostaglandin
Oxytocin,Oxytocin,Various,Injection,Box,25.00,18.00,15,R1-17,Uterotonic
Ergometrine,Ergometrine,Various,Injection,Box,30.00,22.00,12,R1-18,Uterotonic
Tranexamic Acid,Tranexamic,Various,Tablet,Strip,40.00,28.00,20,R1-19,Antifibrinolytic
Ethamsylate,Etamsylate,Various,Tablet,Strip,25.00,18.00,20,R1-20,Hemostatic
Vitamin K,Phytonadione,Various,Injection,Box,20.00,14.00,15,R1-21,Antidote
Protamine Sulfate,Protamine,Pfizer,Injection,Box,80.00,55.00,8,R1-22,Heparin Antidote
Naloxone,Narcan,Mallinckrodt,Injection,Box,200.00,145.00,5,R1-23,Opioid Antidote
Flumazenil,Romazicon,Roche,Injection,Box,100.00,72.00,5,R1-24,Benzo Antidote
Acetylcysteine Injection,Parvolex,Aac Pharma,Injection,Box,50.00,35.00,10,R1-25,Acetaminophen Antidote
Physostigmine,Physostigmine,Various,Injection,Box,60.00,42.00,5,R1-26,Anticholinesterase
Neostigmine,Neostigmine,Various,Injection,Box,30.00,22.00,10,R1-27,Anticholinesterase
Atropine Sulfate Injection,Atropine,Various,Injection,Box,15.00,10.00,15,R1-28,Anticholinergic
Adrenaline Injection,Adrenaline,Various,Injection,Box,20.00,14.00,15,R1-29,Vasopressor
Dopamine,Dopamine,Hospira,Injection,Box,40.00,28.00,8,R1-30,Vasopressor
Noradrenaline,Noradrenaline,Hospira,Injection,Box,50.00,35.00,8,R1-31,Vasopressor
Dobutamine,Dobutamine,Hospira,Injection,Box,60.00,42.00,8,R1-32,Vasopressor
Nitroglycerin,Nitrolingual,Pfizer,Prescription,Box,150.00,110.00,12,R1-33,Nitrate
Isosorbide Mononitrate,Imdur,AstraZeneca,Tablet,Strip,80.00,55.00,20,R1-34,Nitrate
Hydralazine Injection,Apresoline,Novartis,Injection,Box,25.00,18.00,10,R1-35,Vasodilator
Sodium Nitroprusside,Nipride,Roche,Injection,Box,100.00,72.00,5,R1-36,Vasodilator
Magnesium Sulfate,MgSO4,Various,Injection,Box,10.00,7.00,20,R1-37,Anticonvulsant/Relaxant
Calcium Gluconate,Calcium Gluconate,Various,Injection,Box,15.00,10.00,15,R1-38,Calcium Supplement IV
Potassium Chloride,KCl,Various,Tablet,Strip,15.00,10.00,25,R1-39,Electrolyte
Normal Saline,NaCl 0.9%,Various,Prescription,Box,20.00,14.00,50,R1-40,IV Fluid
Ringer Lactate,Ringer Lactate,Various,Prescription,Box,25.00,18.00,40,R1-41,IV Fluid
Dextrose 5%,D5W,Various,Prescription,Box,18.00,12.00,45,R1-42,IV Fluid
Mannitol,Mannitol,Various,Prescription,Box,40.00,28.00,10,R1-43,Osmotic Diuretic
Dexamethasone Eye Drops,Maxidex,Alcon,Prescription,Bottle,35.00,25.00,20,Q1-11,Steroid Eye Drops
Ofloxacin Eye Drops,Exocin,Allergan,Prescription,Bottle,40.00,28.00,20,Q1-12,Antibiotic Eye Drops
Ciprofloxacin Eye Drops,Ciloxan,Alcon,Prescription,Bottle,45.00,32.00,18,Q1-13,Antibiotic Eye Drops
Gentamicin Eye Drops,Gentamicin,Various,Prescription,Bottle,20.00,14.00,25,Q1-14,Antibiotic Eye Drops
Chloramphenicol Eye Drops,Chloramphenicol,Various,Prescription,Bottle,15.00,10.00,30,Q1-15,Antibiotic Eye Drops
Betamethasone Eye Drops,Betnesol,GSK,Prescription,Bottle,30.00,22.00,15,Q1-16,Steroid Eye Drops
Naphazoline,Privine,Various,Prescription,Bottle,15.00,10.00,20,Q1-17,Decongestant Eye Drops
Pheniramine Eye Drops,Avil,Various,Prescription,Bottle,15.00,10.00,18,Q1-18,Antihistamine Eye Drops
Hypromellose,Artificial Tears,Various,Prescription,Bottle,25.00,18.00,25,Q1-19,Lubricant Eye Drops
Sodium Hyaluronate,Hyluron,Various,Prescription,Bottle,80.00,55.00,12,Q2-01,Lubricant Premium
Pilocarpine Eye Drops,Pilocarpine,Various,Prescription,Bottle,25.00,18.00,12,Q2-02,Glaucoma
Dorzolamide+Timolol,Cosopt,MSD,Prescription,Bottle,200.00,145.00,8,Q2-03,Glaucoma Combo
Brimonidine,Alphagan,Allergan,Prescription,Bottle,180.00,130.00,10,Q2-04,Glaucoma Alpha Agonist
Apraclonidine,Iopidine,Alcon,Prescription,Bottle,120.00,85.00,8,Q2-05,Glaucoma
Carbachol,Miostat,Alcon,Prescription,Bottle,60.00,42.00,8,Q2-06,Miotic
Levobunolol,Betagan,Allergan,Prescription,Bottle,80.00,55.00,10,Q2-07,Beta-blocker Eye
Carteolol,Ocupress,Alcon,Prescription,Bottle,70.00,50.00,10,Q2-08,Beta-blocker Eye
Acetazolamide,Diamox,Lederle,Tablet,Strip,30.00,22.00,20,Q2-09,Carbonic Anhydrase Inhibitor
Methazolamide,Neptazane,Various,Tablet,Strip,80.00,55.00,10,Q2-10,CAI
Dorzolamide Injection,Dorzolamide,Various,Prescription,Bottle,100.00,72.00,8,Q2-11,CAI
Bevacizumab,Lucentis,Genentech,Injection,Box,1500.00,1080.00,3,Q2-12,VEGF Inhibitor
Ranibizumab,Lucentis,Genentech,Injection,Box,1500.00,1080.00,3,Q2-13,VEGF Inhibitor
Triamcinolone,Trivaris,Various,Injection,Box,100.00,72.00,5,Q2-14,Steroid Injection Eye
Dexamethasone Implant,Ozurdex,Allergan,Prescription,Box,800.00,575.00,3,Q2-15,Steroid Implant
Pegaptanib,Macugen,Pfizer,Injection,Box,1000.00,720.00,3,Q2-16,VEGF Inhibitor
Acetaminophen+Codeine,Tylenol with Codeine,J&J,Tablet,Strip,60.00,42.00,15,A1-14,Opioid Combination
Hydrocodone+Acetaminophen,Vicodin,Abbott,Tablet,Strip,80.00,55.00,10,A1-15,Opioid Combination
Oxycodone,OxyContin,Pfizer,Tablet,Strip,120.00,85.00,8,A1-16,Opioid Strong
Oxycodone+Acetaminophen,Percocet,Endo,Tablet,Strip,90.00,65.00,10,A1-17,Opioid Combo
Tramadol+Acetaminophen,Ultracet,J&J,Tablet,Strip,50.00,35.00,18,A1-18,Opioid Combo
Tapentadol,Nucynta,Grünenthal,Tablet,Strip,150.00,110.00,8,A1-19,Atypical Opioid
Buprenorphine,Nubain,Various,Injection,Box,50.00,35.00,10,A1-20,Partial Agonist
Fentanyl,Sublimaze,Janssen,Injection,Box,80.00,55.00,5,A1-21,Potent Opioid
Methadone,Methadone,Various,Tablet,Strip,20.00,14.00,12,A1-22,Opioid Maintenance
Pentazocine,Talwin,Sanofi,Tablet,Strip,40.00,28.00,12,A1-23,Partial Agonist
Nefopam,Acupan,Various,Tablet,Strip,60.00,42.00,15,A1-24,Non-Opioid Analgesic
Celecoxib,Celebrex,Pfizer,Tablet,Strip,150.00,110.00,15,A1-25,COX-2 Inhibitor
Etoricoxib,Arcoxia,MSD,Tablet,Strip,100.00,72.00,18,A1-26,COX-2 Inhibitor
Parecoxib,Dynastat,Pfizer,Injection,Box,120.00,85.00,8,A1-27,COX-2 Injectable
Naproxen,Naproxen,Various,Tablet,Strip,30.00,22.00,30,A1-28,NSAID
Ketoprofen,Ketoprofen,Various,Tablet,Strip,35.00,25.00,25,A1-29,NSAID
Piroxicam,Feldene,Pfizer,Tablet,Strip,30.00,22.00,20,A1-30,NSAID
Meloxicam,Mobic,Boehringer,Tablet,Strip,40.00,28.00,25,A1-31,NSAID
Indomethacin,Indocin,MSD,Tablet,Strip,40.00,28.00,15,A1-32,NSAID
Fenoprofen,Nalfon,Various,Tablet,Strip,45.00,32.00,15,A1-33,NSAID
Flurbiprofen,Ansaid,Pfizer,Tablet,Strip,50.00,35.00,15,A1-34,NSAID
Oxaprozin,Daypro,GSK,Tablet,Strip,60.00,42.00,12,A1-35,NSAID
Sulindac,Clinoril,MSD,Tablet,Strip,40.00,28.00,15,A1-36,NSAID
Tolmetin,Tolectin,Various,Tablet,Strip,35.00,25.00,15,A1-37,NSAID
Etodolac,Etodolac,Various,Tablet,Strip,40.00,28.00,18,A1-38,NSAID
Choline Magnesium Trisalicylate,Trilisate,Various,Tablet,Strip,30.00,22.00,15,A1-39,Salicylate
Salsalate,Disalcid,Various,Tablet,Strip,30.00,22.00,15,A1-40,Salicylate
Diflunisal,Dolobid,MSD,Tablet,Strip,40.00,28.00,12,A1-41,Salicylate
Acetaminophen IV,Ofirmev,Cadence,Injection,Box,200.00,145.00,8,A1-42,IV Analgesic
Ketorolac,Toradol,Abbott,Injection,Box,30.00,22.00,15,A1-43,Injectable NSAID
Ketorolac Eye Drops,Acular,Allergan,Prescription,Bottle,80.00,55.00,12,Q2-17,NSAID Eye Drops
Nepafenac,Nevanac,Alcon,Prescription,Bottle,120.00,85.00,8,Q2-18,NSAID Eye Drops
Bromfenac,Bromday,Bausch,Prescription,Bottle,100.00,72.00,10,Q2-19,NSAID Eye Drops
Diclofenac Eye Drops,Voltaren Ophthalmic,Various,Prescription,Bottle,40.00,28.00,15,Q2-20,NSAID Eye Drops
Loteprednol,Alrex,Bausch,Prescription,Bottle,80.00,55.00,10,Q2-21,Steroid Eye Drops
Fluorometholone,Flarex,Alcon,Prescription,Bottle,60.00,42.00,12,Q2-22,Steroid Eye Drops
Medrysone,HMS,Allergan,Prescription,Bottle,50.00,35.00,10,Q2-23,Steroid Eye Drops
Dexamethasone Liposomal,Dextenza,D corporate,Prescription,Box,500.00,360.00,5,Q2-24,Steroid Implant
Cromolyn Sodium,Intal,Multiple,Prescription,Bottle,30.00,22.00,15,Q2-25,Mast Cell Stabilizer
Nedocromil,Tilade,Multiple,Prescription,Box,150.00,110.00,8,L1-22,Mast Cell Stabilizer
Olopatadine,Patanol,Alcon,Prescription,Bottle,80.00,55.00,12,Q2-26,Antihistamine Eye Drops
Emedastine,Emadine,Alcon,Prescription,Bottle,70.00,50.00,12,Q2-27,Antihistamine Eye Drops
Azelastine,Astepro,Teva,Prescription,Box,60.00,42.00,15,P1-10,Nasal Antihistamine
Fluticasone Nasal,Flonase,GSK,Prescription,Box,80.00,55.00,20,P1-11,Nasal Steroid
Mometasone Nasal,Nasonex,MSD,Prescription,Box,100.00,72.00,15,P1-12,Nasal Steroid
Triamcinolone Nasal,Nasacort,Allergan,Prescription,Box,70.00,50.00,18,P1-13,Nasal Steroid
Budesonide Nasal,Rhinocort,AstraZeneca,Prescription,Box,90.00,65.00,15,P1-14,Nasal Steroid
Ipratropium Nasal,Atrovent Nasal,Boehringer,Prescription,Box,60.00,42.00,12,P1-15,Nasal Anticholinergic
Oxymetazoline Nasal,Afrin,Various,Prescription,Box,20.00,14.00,25,P1-16,Nasal Decongestant
Xylometazoline Nasal,Otrivin,Various,Prescription,Box,18.00,12.00,25,P1-17,Nasal Decongestant
Pseudoephedrine Nasal,Sudafed,Pfizer,Tablet,Strip,20.00,14.00,30,P1-18,Oral Decongestant
Phenylephrine Nasal,Neo-Synephrine,Various,Prescription,Box,15.00,10.00,20,P1-19,Nasal Decongestant
Montelukast Nasal,Singulair Nasal,MSD,Prescription,Box,100.00,72.00,10,P1-20,Nasal Leukotriene
Cromoglycate Nasal,Cromolyn Nasal,Various,Prescription,Box,25.00,18.00,15,P1-21,Nasal Mast Cell Stabilizer
Oxymetazoline Eye Drops,Visine LRC,Johnson & Johnson,Prescription,Bottle,10.00,7.00,30,P1-22,Decongestant Eye Drops
Naphazoline+Pheniramine,Opcon-A,Bausch,Prescription,Bottle,12.00,8.00,25,P1-23,Decongestant Eye Drops
Tetrahydrozoline Eye Drops,Visine,Johnson & Johnson,Prescription,Bottle,10.00,7.00,30,P1-24,Decongestant Eye Drops
Benzonatate,Tessalon,Various,Tablet,Strip,60.00,42.00,15,L1-23,Antitussive Non-narcotic
Cough Syrup,Dextromethorphan,Various,Syrup,Bottle,25.00,18.00,30,L1-24,Cough Syrup
Benzonatate Capsule,Tessalon Perle,Various,Tablet,Strip,70.00,50.00,12,L1-25,Antitussive Non-narcotic
Camphor+Menthol,Camphor Rub,Various,OTC,Box,15.00,10.00,25,L1-26,Cough Suppressant Topical
Guaifenesin+Dextromethorphan,Mucinex DM,Reckitt,Tablet,Strip,35.00,25.00,25,L1-27,Expectorant+Antitussive
Guaifenesin+Codeine,Prometh with Codeine,Various,Syrup,Bottle,40.00,28.00,15,L1-28,Opioid Cough Syrup
Benzonatate+Guaifenesen,Combination,Various,Tablet,Strip,55.00,38.00,12,L1-29,Combination Cough
Benzonatate Lozenge,Tessalon,Various,Prescription,Sachet,8.00,5.50,30,L1-30,Cough Lozenge
